"lsoa11cd","CAUTH18NM","lsoa11nm","r_rank","h_rank","g_rank","e_rank","r_exp","h_exp","g_exp","e_exp","ahah","r_ahah","d_ahah","r_dec","h_dec","g_dec","e_dec","gpp_dist","ed_dist","dent_dist","pharm_dist","gamb_dist","ffood_dist","pubs_dist","leis_dist","blue_dist","off_dist","tobac_dist","green_pas","green_act","ur","no2_mean","pm10_mean","so2_mean","d_gpp_dist","d_ed_dist","d_pharm_dist","d_dent_dist","d_gamb_dist","d_ffood_dist","d_pubs_dist","d_leis_dist","d_blue_dist","d_off_dist","d_tobac_dist","d_green_pas","d_green_act","d_no2_mean","d_pm10_mean","d_so2_mean"
"E01010568","West Yorkshire","Bradford 016A",26204,24968,25575,18970,22.2443886734745,20.5402972008784,21.3614103942609,13.6967739773862,19.4607175615,18387,5,7,6,7,5,1.86217391304348,7.16840579710145,1.78478260869565,1.36579710144928,1.74521739130435,0.561449275362319,0.525217391304348,0.93695652173913,0.47523223605797,2.93811594202899,2.29246376811594,0.09766314969,1.13,1,11.2506266561402,10.7080435186162,1.30109838482204,8,5,8,8,4,8,9,2,1,5,6,8,10,6,3,7
"E01010569","West Yorkshire","Bradford 016B",20123,24733,14741,19068,14.8637544621214,20.2301119268209,9.86156583235293,13.7936918708693,14.6872810230411,7764,2,5,6,4,5,1.80288461538462,6.74230769230769,1.60538461538462,1.08096153846154,1.52961538461538,1.19519230769231,1.41903846153846,1.49923076923077,1.50346153846154,2.51230769230769,1.86653846153846,0.19155267327,0.33,1,11.3176455247894,10.6927537790931,1.30387512428926,8,5,7,7,4,6,4,4,4,5,7,6,3,6,3,7
"E01010570","West Yorkshire","Bradford 018A",6803,34023,33369,14715,4.03531457169589,37.5741568010511,35.8201263609722,9.83985813475237,21.8173639671179,23667,6,2,9,8,4,2.08977272727273,9.38045454545455,2.10340909090909,2.28454545454545,3.10568181818182,3.34727272727273,4.01272727272727,3.5325,1.99227272727273,5.15045454545455,4.50409090909091,0.15956110521,1.085,1,10.2059774398804,10.3123149871826,1.19655925035477,8,6,9,8,2,2,2,7,5,3,4,7,10,5,3,6
"E01010571","West Yorkshire","Bradford 016C",30537,18925,9414,20192,29.4702023954136,13.652407314407,5.7937851167884,14.9355049522644,15.9629749447184,10316,3,8,5,3,5,1.65864406779661,6.19559322033898,1.37813559322034,1.07627118644068,1.24050847457627,0.531864406779661,0.615254237288136,0.67,0.520673889661016,1.96559322033898,1.32033898305085,0.17139198764,0.395,1,11.5563908412684,10.8037959268428,1.33732589069752,8,4,7,6,5,8,8,1,1,6,8,7,5,6,4,8
"E01010572","West Yorkshire","Bradford 016D",26087,13826,16249,18577,22.0775594037508,9.10968589508938,11.1570135044908,13.3121649113292,13.914105928665,6408,2,7,4,4,5,1.17814814814815,6.7437037037037,1.12814814814815,0.670740740740741,1.12814814814815,0.73037037037037,0.879259259259259,0.744814814814815,0.688148148148148,2.5137037037037,1.86814814814815,0.1179269666,0.47,1,11.1904279838441,10.6655303424437,1.29318223737515,6,5,4,5,6,7,7,2,2,5,7,8,6,6,3,7
"E01010573","West Yorkshire","Bradford 013A",13855,29390,17907,13267,9.13314262902112,27.3260025668126,12.6709439446817,8.66215008482927,14.4480598063362,7308,2,4,8,5,4,1.47118181818182,8.68747272727273,1.67936363636364,1.47972727272727,1.68009090909091,1.467,1.45609090909091,2.63498181818182,1.25509131905455,4.16601818181818,3.6772,0.8520754433,1.07,1,9.66081587473551,10.1909511884054,1.14204637209574,7,6,8,7,4,5,4,6,3,4,4,2,10,4,3,6
"E01010574","West Yorkshire","Bradford 013B",23025,20583,6435,16167,18.0932086449068,15.3463740141865,3.79793861197821,11.084663742944,12.0805462535039,3632,1,6,5,2,4,1.15865384615385,7.91615384615385,1.08269230769231,0.872884615384615,1.08269230769231,0.894615384615385,0.704615384615385,1.92076923076923,1.28980769230769,3.68423076923077,3.04,1.50736618988,0.515,1,10.6048629521816,10.512345500737,1.23130088040099,6,6,6,5,6,7,8,5,3,4,5,1,6,5,3,7
"E01010575","West Yorkshire","Bradford 013C",33925,5829,12006,15275,37.3026473676674,3.41230363414296,7.6834716769555,10.3120010471937,14.6776059314899,7747,2,9,2,3,4,0.453584905660377,7.84264150943396,0.413207547169811,0.40377358490566,0.413207547169811,0.35811320754717,0.337547169811321,1.89320754716981,2.03396226415094,3.61264150943396,2.96584905660377,1.09167111252,0.53,1,10.3639756384895,10.4324346993758,1.20876505935145,1,6,2,1,10,9,10,5,5,4,5,1,7,5,3,7
"E01010576","West Yorkshire","Bradford 016E",17596,28375,5477,17282,12.3792705423754,25.5821363252789,3.19123766244834,12.0884888642172,13.31028334858,5376,2,5,7,2,5,1.83888888888889,7.92333333333333,1.78888888888889,1.38688888888889,1.78888888888889,1.29622222222222,0.918222222222222,1.76644444444444,0.693555555555556,3.66311111111111,3.04711111111111,1.10022636706,0.575,1,10.8679447418887,10.5996594338446,1.25697989445027,8,6,8,8,4,5,6,4,2,4,5,1,7,5,3,7
"E01010577","West Yorkshire","Bradford 013D",28667,8570,7330,16996,26.0704193802828,5.21052777844686,4.3795763059733,11.8267983493778,11.8718304535202,3403,1,7,3,2,5,0.505925925925926,7.65537037037037,0.668703703703704,0.462037037037037,0.668703703703704,0.585185185185185,0.570925925925926,1.71425925925926,1.18611111111111,3.42574074074074,2.77907407407407,1.00208939201,0.49,1,10.8083692735179,10.5480004333807,1.25387739845897,2,5,2,3,8,8,8,4,3,4,5,1,6,5,3,7
