"oa11cd","lsoa11cd","sfbb_pc","ufbb_pc","nga_pc","no2m_pc","no5m_pc","no10m_pc","no30m_pc","meddown","avdown","mindown","maxdown","avdownl10","avdownbasic","avdownsfbb","avdownufbb","medup","avup","minup","maxup","avupl10","avupbasic","avupsfbb","avupufbb","numconnl2","numconn2t5","numconn5t10","numconn10t30","numconn30p","numconn300p","avdugb","avdul10","avdubasic","avdusfbb","avduufbb","num_pcs"
"E00053353","E01010573",58.4444444444444,0,88.8888888888889,0,0,0,30.4444444444444,21.5444444444444,24.2777777777778,9.77777777777778,45.9,2.48888888888889,7.54444444444445,34.7333333333333,0,3.86666666666667,4.78888888888889,2.02222222222222,9.74444444444445,0.544444444444444,1.7,5.64444444444444,0,14,77,3,20,44,0,108.777777777778,28,44.3777777777778,106.788888888889,0,9
"E00053354","E01010573",100,0,100,0,0,0,0,49,51.22,2.18,160,2.88,8.12,70.88,0,3,4.36,0.58,11.72,0.68,1.16,5.74,0,2,23,1,7,73,0,78.2,46.44,49.48,92.26,0,5
"E00053355","E01010576",62.2222222222222,0,73.3333333333333,0,26.6666666666667,26.6666666666667,37.7777777777778,28.2777777777778,41.3222222222222,4.57777777777778,131.055555555556,3.73333333333333,6.38888888888889,59.8,0,1.95555555555556,3.2,0.7,8.71111111111111,0.633333333333333,0.855555555555556,4.27777777777778,0,4,33,13,4,56,0,139.133333333333,114.433333333333,113.8,114.766666666667,0,9
"E00053356","E01010576",83.3333333333333,0,83.3333333333333,0,16.6666666666667,16.6666666666667,16.6666666666667,35.7333333333333,40.3166666666667,4.9,103.566666666667,3.98333333333333,8.05,58.1166666666667,0,2.76666666666667,4.2,0.533333333333333,12.1333333333333,0.616666666666667,0.816666666666667,5.91666666666667,0,1,20,14,3,54,0,75.3833333333333,25.1666666666667,29.55,99.2,0,6
"E00053357","E01010573",100,0,100,0,0,0,0,30.45,39.53,4.87,112.12,3.53,5.07,62.62,0,3.25,5,0.74,13.33,0.73,0.85,8.81,0,7,26,12,5,69,0,120.3,40.06,40.45,202.68,0,10
"E00053358","E01010568",71.4,0,71.4,0,0,28.6,28.6,21.2,30.36,3.82,95.94,5.84666666666667,7.20666666666667,62.9266666666667,0,2.20666666666667,2.8,0.68,7,0.846666666666667,0.94,5.13333333333333,0,2,33,46,6,41,0,102.166666666667,107.166666666667,95.52,79.4466666666667,0,15
"E00053359","E01010568",98,0,100,0,0,0,2,21.2,42.64,5.06,150.4,7.04,10.32,85.22,0,1.86,3.26,0.74,9.6,0.92,1.3,6.04,0,0,5,24,25,35,0,84.4,76,76.32,91.46,0,5
"E00053360","E01010569",100,0,100,0,0,0,0,28.8666666666667,36.5666666666667,5.41666666666667,120.333333333333,7.43333333333333,11.0666666666667,63.2,0,1.85,2.93333333333333,0.783333333333333,10.85,0.933333333333333,1.11666666666667,4.98333333333333,0,1,1,27,22,53,0,71.2666666666667,59.3833333333333,71.6833333333333,80.4833333333333,0,6
"E00053361","E01010576",99.1428571428571,0,99.1428571428571,0,0.857142857142857,0.857142857142857,0.857142857142857,36.5285714285714,54.9714285714286,3.97142857142857,158.714285714286,5.1,11.3571428571429,84.1428571428571,0,3.08571428571429,4.84285714285714,0.614285714285714,14.2857142857143,0.771428571428571,1.55714285714286,7.65714285714286,0,1,12,17,12,59,0,112.528571428571,64.7857142857143,93.6285714285714,116.328571428571,0,7
"E00053362","E01010570",100,0,100,0,0,0,0,47.575,50.825,5.475,153.45,2.5375,3.675,73.0625,0,5.625,6.625,0.7125,16.2375,0.5875,0.6625,10.15,0,4,27,1,3,71,0,96.35,22.2375,28.075,131.2625,0,8
