"oa11cd","lsoa11cd","sfbb_pc","ufbb_pc","fttpavail_pc","no2m_pc","no5m_pc","no10m_pc","no30m_pc","meddown","avdown","mindown","maxdown","avdownl10","avdownbasic","avdownsfbb","avdownufbb","medup","avup","minup","maxup","avupl10","avupbasic","avupsfbb","avupufbb","numconnl2","numconn2t5","numconn5t10","numconn10t30","numconn30p","numconn300p","avdugb","avdul10","avdubasic","avdusfbb","avduufbb","num_pcs"
"E00053353","E01010573",69.1111111111111,0,0,0,0,0,30.8888888888889,23.3111111111111,26.1777777777778,9.14444444444444,46.3,2.43333333333333,6.68888888888889,34.8777777777778,0,4.85555555555556,5.4,1.38888888888889,11.2333333333333,0.533333333333333,1.34444444444444,7.51111111111111,0,20,59,4,29,64,0,128.355555555556,26.0111111111111,56.1666666666667,113.444444444444,0,9
"E00053354","E01010573",0,100,0,0,0,0,0,47.6,50.96,4.68,134,2.1,9.04,64.82,0,4.94,5.5,0.78,11.64,0.54,1.62,6.76,0,6,14,2,7,81,0,126.32,57.08,97.66,138.86,0,5
"E00053355","E01010576",1.55555555555556,67,0,0,18.1111111111111,18.1111111111111,31.4444444444444,37,56.3777777777778,7.07777777777778,153.788888888889,3.78888888888889,4.7,82.9222222222222,33.3333333333333,4.58888888888889,4.95555555555555,0.822222222222222,12.9111111111111,0.666666666666667,0.711111111111111,8.14444444444444,2.22222222222222,2,35,8,5,61,1,181.422222222222,98.1888888888889,116.922222222222,187.566666666667,55.4,9
"E00053356","E01010576",5.83333333333333,77.6666666666667,0,0,16.6666666666667,16.6666666666667,16.6666666666667,47.2333333333333,59.1166666666667,10.4166666666667,167.516666666667,3.95,4.61666666666667,77.55,0,5.93333333333333,5.55,0.9,12.8,0.616666666666667,0.666666666666667,7.06666666666667,0,1,18,12,2,63,0,102.566666666667,45.1666666666667,47.9666666666667,118.266666666667,0,6
"E00053357","E01010573",34.5,65.5,0,0,0,0,0,46.12,53.29,6.74,137.05,3.18,4.07,73.38,0,8.32,6.89,0.77,14.42,0.64,0.79,9.51,0,6,23,8,3,86,0,151.2,43.43,44.89,193.89,0,10
"E00053358","E01010568",23.5714285714286,51.5,0,0,0,24.9285714285714,24.9285714285714,24.5214285714286,37.9142857142857,3.98571428571429,127.535714285714,6.00714285714286,7.52857142857143,71.3928571428571,0,3.5,3.99285714285714,0.65,9.8,0.9,1.27142857142857,6.89285714285714,0,0,35,37,8,48,0,132.621428571429,109.142857142857,104.285714285714,120.421428571429,0,14
"E00053359","E01010568",10.2,87.4,0,0,0,0,2.4,37.32,51.22,5.82,160,7.16,10.92,97.18,0,3.6,4.84,0.64,14,0.92,1.52,8.18,0,0,2,24,26,38,0,142.2,78.9,125.7,140.74,0,5
"E00053360","E01010569",0,100,0,0,0,0,0,42.9166666666667,47.4333333333333,4.73333333333333,158.333333333333,7.18333333333333,9.3,77.5166666666667,0,3.31666666666667,4.15,0.566666666666667,11.3666666666667,0.866666666666667,1.03333333333333,6.56666666666667,0,1,2,30,16,63,0,103.916666666667,62.9666666666667,88.0833333333334,115.9,0,6
"E00053361","E01010576",21,78.1428571428571,0,0,0.857142857142857,0.857142857142857,0.857142857142857,55.3428571428571,69.2428571428571,6.88571428571429,202.857142857143,4.02857142857143,11.4285714285714,90.4142857142857,50,4.85714285714286,5.95714285714286,1.2,14.2,0.657142857142857,1.85714285714286,8.04285714285714,1,1,10,16,7,77,1,141.257142857143,25.4571428571429,70.7142857142857,172.714285714286,41.1142857142857,7
"E00053362","E01010570",13.5714285714286,86.4285714285714,0,0,0,0,0,54.7714285714286,62.7571428571429,4.9,171.428571428571,2.74285714285714,7.82857142857143,78.6714285714286,0,8.5,8.14285714285714,0.757142857142857,17.7142857142857,0.585714285714286,1.25714285714286,9.95714285714286,0,3,17,0,5,86,0,115.057142857143,43.5714285714286,68.8142857142857,122.642857142857,0,7
"E00053363","E01010569",1.85714285714286,80.8571428571429,0,0,0,17.2857142857143,17.2857142857143,39.9857142857143,50.4285714285714,2.64285714285714,140.571428571429,5.1,5.25714285714286,79.1,0,2.62857142857143,3.84285714285714,0.514285714285714,11.3,0.742857142857143,0.757142857142857,6.12857142857143,0,4,16,38,2,52,0,163.857142857143,153.857142857143,152.471428571429,154.571428571429,0,7
"E00053364","E01010574",17.3333333333333,82.6666666666667,0,0,0,0,0,40.8333333333333,64.9166666666667,8.41666666666667,175.833333333333,4.1,4.71666666666667,95.9333333333333,0,4.05,5.08333333333333,0.65,11.6666666666667,0.55,0.583333333333333,7.9,0,3,19,10,2,51,0,72.4333333333333,36.4166666666667,37.8333333333333,84.4,0,6
"E00053365","E01010568",8.85714285714286,91.1428571428571,0,0,0,0,0,57.6142857142857,64.2714285714286,6.24285714285714,149.828571428571,4.72857142857143,8.02857142857143,84.7285714285714,0,5.9,6.44285714285714,0.928571428571429,14.5,0.771428571428571,1.14285714285714,8.71428571428571,0,1,10,18,5,71,0,110.814285714286,49.7571428571429,51.2857142857143,134.642857142857,0,7
"E00053366","E01010577",40.7,59.3,0,0,0,0,0,51.18,52.42,7.48,111.69,4.73,4.73,66.12,0,7.81,8.16,1.63,16.4,0.68,0.68,10.44,0,2,7,14,0,89,0,167.43,67.47,67.47,203.92,0,10
