"lsoa11cd","CAUTH18NM","lsoa11nm","count_95Q1","count_95Q2","count_95Q3","count_95Q4","count_96Q1","count_96Q2","count_96Q3","count_96Q4","count_97Q1","count_97Q2","count_97Q3","count_97Q4","count_98Q1","count_98Q2","count_98Q3","count_98Q4","count_99Q1","count_99Q2","count_99Q3","count_99Q4","count_00Q1","count_00Q2","count_00Q3","count_00Q4","count_01Q1","count_01Q2","count_01Q3","count_01Q4","count_02Q1","count_02Q2","count_02Q3","count_02Q4","count_03Q1","count_03Q2","count_03Q3","count_03Q4","count_04Q1","count_04Q2","count_04Q3","count_04Q4","count_05Q1","count_05Q2","count_05Q3","count_05Q4","count_06Q1","count_06Q2","count_06Q3","count_06Q4","count_07Q1","count_07Q2","count_07Q3","count_07Q4","count_08Q1","count_08Q2","count_08Q3","count_08Q4","count_09Q1","count_09Q2","count_09Q3","count_09Q4","count_10Q1","count_10Q2","count_10Q3","count_10Q4","count_11Q1","count_11Q2","count_11Q3","count_11Q4","count_12Q1","count_12Q2","count_12Q3","count_12Q4","count_13Q1","count_13Q2","count_13Q3","count_13Q4","count_14Q1","count_14Q2","count_14Q3","count_14Q4","count_15Q1","count_15Q2","count_15Q3","count_15Q4","count_16Q1","count_16Q2","count_16Q3","count_16Q4","count_17Q1","count_17Q2","count_17Q3","count_17Q4","count_18Q1","count_18Q2","count_18Q3","count_18Q4"
"E01010568","West Yorkshire","Bradford 016A",3,3,2,2,2,4,3,3,2,7,4,3,3,2,3,1,NA,2,5,2,1,2,5,3,NA,1,2,1,2,2,2,7,2,3,7,2,1,4,5,2,NA,2,4,5,NA,3,3,2,2,1,1,3,NA,2,1,1,5,NA,1,3,3,1,2,NA,1,2,6,NA,NA,1,2,1,3,2,NA,3,4,1,2,1,1,1,3,4,8,2,NA,4,3,3,6,NA,6,1,2,2
"E01010569","West Yorkshire","Bradford 016B",2,NA,1,1,2,NA,NA,1,2,NA,1,1,NA,2,1,2,NA,2,1,NA,4,3,1,2,2,1,NA,6,5,4,NA,6,3,3,7,5,2,4,3,NA,1,5,3,3,2,3,4,7,3,4,2,2,3,2,2,NA,1,2,1,2,2,NA,1,2,NA,NA,1,2,NA,NA,3,2,2,2,4,3,1,NA,4,NA,2,5,2,3,2,NA,1,2,3,5,6,3,NA,3,3,2
"E01010570","West Yorkshire","Bradford 018A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010571","West Yorkshire","Bradford 016C",1,5,2,NA,3,3,3,NA,3,5,5,NA,1,3,3,4,2,2,4,NA,3,5,7,5,1,NA,8,7,2,3,5,5,3,2,7,7,4,5,7,NA,NA,2,1,3,3,4,2,3,5,7,7,3,3,1,1,8,1,4,1,1,1,2,2,1,NA,1,2,1,3,NA,NA,1,1,1,NA,3,3,4,6,6,NA,3,6,5,8,1,2,6,3,7,2,3,2,1,3,2
"E01010572","West Yorkshire","Bradford 016D",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1
"E01010573","West Yorkshire","Bradford 013A",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA
"E01010574","West Yorkshire","Bradford 013B",NA,1,NA,1,1,NA,2,2,3,2,4,2,NA,1,NA,1,3,2,1,4,1,2,1,4,2,2,1,2,1,3,4,1,1,4,NA,3,NA,1,5,NA,NA,4,NA,1,1,3,1,1,1,1,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,2,3,2,2,1,NA,1,1,1,NA,NA,NA,2,NA,2,2,NA,1,NA,NA,2,2,NA,1,2,1,NA,1,NA,1,NA,2,NA,3,1
"E01010575","West Yorkshire","Bradford 013C",1,1,2,3,NA,NA,1,2,3,3,5,4,1,2,3,2,2,2,1,1,1,2,2,2,1,3,1,1,3,NA,1,1,1,5,6,12,2,1,3,3,3,1,NA,1,2,1,3,1,2,7,1,4,2,NA,1,1,1,2,2,4,1,2,2,2,NA,1,2,1,2,3,2,2,1,NA,4,1,2,5,5,5,1,3,1,6,1,5,4,2,2,3,NA,4,NA,1,1,3
"E01010576","West Yorkshire","Bradford 016E",1,2,1,2,3,NA,4,4,NA,2,3,2,NA,1,NA,5,2,NA,1,4,4,4,1,3,2,1,3,NA,NA,7,6,3,1,NA,4,6,1,2,3,1,1,1,3,2,3,6,NA,2,2,2,2,1,NA,1,NA,NA,1,4,1,1,1,NA,2,2,1,2,1,NA,NA,1,1,1,NA,NA,1,3,NA,NA,3,2,2,3,1,2,2,NA,1,3,2,1,NA,1,NA,NA,3,NA
"E01010577","West Yorkshire","Bradford 013D",NA,NA,NA,NA,2,4,3,NA,3,1,3,4,NA,3,NA,2,1,3,2,1,3,2,1,6,3,NA,3,NA,2,3,1,3,2,3,3,1,2,NA,4,1,1,3,3,1,NA,1,2,1,5,NA,2,NA,NA,NA,1,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,2,1,1,NA,2,1,1,2,NA,NA,1,2,1,1,1,NA,2,NA,4,1,3,1,1,4,1,2,2,NA,1,NA
"E01010578","West Yorkshire","Bradford 015A",1,NA,9,NA,3,1,4,2,2,6,2,5,5,7,6,4,4,4,7,6,3,7,9,8,4,8,8,7,4,4,4,4,3,5,1,4,5,1,3,4,2,2,2,6,2,1,9,2,9,7,9,4,7,7,1,NA,2,1,2,3,NA,2,3,1,1,2,3,4,1,3,2,2,2,4,2,1,NA,1,3,1,2,1,4,NA,1,4,6,6,3,5,2,3,1,3,2,3
"E01010579","West Yorkshire","Bradford 010A",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,NA,1,NA,2,NA,1,1,2,1,NA,2,NA,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,1
"E01010580","West Yorkshire","Bradford 010B",1,NA,4,2,2,NA,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,2,1,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,4,1,6,4,19,5,20,12,19,7,6,NA,6,NA,5,1,4,NA,2,2,4,NA,3,4,NA,1,2,NA,5,NA,3,3,1,1,4,1,5,1,4,2,3,3,NA,3,3,1,4,4,4,1,2,1,1
"E01010581","West Yorkshire","Bradford 015B",3,1,NA,1,2,NA,5,1,2,NA,NA,3,NA,NA,1,2,1,NA,1,2,1,3,2,1,1,NA,1,4,1,9,6,3,NA,4,2,4,2,1,3,5,3,6,2,1,2,3,7,3,3,6,2,2,1,2,3,4,4,3,2,4,1,3,2,1,1,2,2,1,NA,2,2,2,1,NA,1,2,1,2,NA,2,3,2,NA,4,1,5,1,1,2,4,2,NA,2,1,NA,NA
"E01010582","West Yorkshire","Bradford 015C",5,2,8,3,5,10,7,9,10,9,5,8,14,7,12,10,5,16,10,11,3,10,12,15,6,7,15,11,7,6,12,13,7,12,11,10,10,10,13,9,3,19,4,10,7,10,11,15,9,8,12,10,6,4,3,6,3,5,6,8,4,2,7,2,2,6,7,5,6,7,2,6,6,6,7,5,5,7,11,8,4,8,8,7,9,3,9,5,10,11,9,9,9,11,9,4
"E01010583","West Yorkshire","Bradford 018B",1,1,1,2,NA,NA,1,5,NA,1,NA,1,NA,3,1,3,2,2,2,NA,2,4,4,NA,4,2,2,NA,4,1,1,4,2,3,5,3,5,2,6,2,1,1,3,2,3,1,4,3,2,2,2,2,1,NA,2,NA,1,NA,NA,1,2,1,2,1,1,1,2,4,1,NA,1,1,NA,NA,1,NA,1,NA,NA,3,NA,1,3,5,2,NA,5,5,4,1,2,2,1,2,4,3
"E01010584","West Yorkshire","Bradford 015D",4,1,3,6,1,5,1,4,6,5,2,5,4,5,5,7,7,7,8,7,7,8,4,3,10,7,11,7,3,9,10,5,7,7,8,6,6,3,6,2,6,7,8,5,9,4,6,4,8,9,13,13,6,9,9,NA,1,3,2,2,3,5,3,2,1,4,2,3,6,6,14,12,7,4,4,8,7,3,3,4,1,5,7,5,3,7,7,4,6,12,7,4,1,5,8,8
"E01010585","West Yorkshire","Bradford 015E",7,5,2,4,1,4,4,5,5,4,3,10,8,12,9,9,3,7,12,8,4,5,4,6,4,5,8,8,10,7,7,2,3,5,9,5,3,6,3,6,4,5,7,12,9,5,6,7,7,8,7,7,5,1,1,1,2,5,3,6,1,3,6,2,4,2,NA,2,4,4,7,1,3,4,4,1,5,6,3,6,1,6,3,7,3,6,6,3,2,5,6,7,1,4,8,9
"E01010586","West Yorkshire","Bradford 022A",2,2,3,3,NA,3,5,1,4,3,3,3,7,21,11,2,4,10,7,2,5,3,4,4,NA,4,5,7,4,1,10,4,4,3,6,8,2,9,3,3,7,2,6,4,6,3,5,5,5,3,1,NA,NA,3,2,NA,4,3,3,3,1,4,4,1,3,1,5,3,3,1,NA,3,1,1,2,1,NA,5,3,8,1,2,9,7,3,3,5,4,NA,1,4,2,NA,2,3,3
"E01010587","West Yorkshire","Bradford 022B",1,3,5,2,1,6,8,3,NA,2,5,2,NA,2,2,2,1,2,3,3,4,3,7,4,1,4,7,8,4,4,5,1,3,5,6,3,5,8,3,10,4,8,1,4,2,3,4,4,3,3,7,7,2,6,4,4,1,1,2,3,NA,3,7,10,2,8,1,4,1,7,3,5,3,6,5,2,9,5,8,2,1,4,6,5,9,3,9,3,5,6,2,3,5,4,3,4
"E01010588","West Yorkshire","Bradford 022C",1,1,1,1,1,NA,NA,3,NA,1,1,NA,1,2,2,NA,1,3,1,1,NA,1,4,3,3,2,3,3,NA,NA,3,NA,NA,1,NA,NA,1,2,2,1,1,8,2,2,NA,1,3,2,2,1,2,5,NA,NA,3,2,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,NA,NA,1,1,NA,NA,1,NA,3,2,2,3,1,NA,1,3,NA,1,3,1,1,NA,3,3,1,NA,1,5,4
"E01010589","West Yorkshire","Bradford 022D",3,3,1,3,1,1,3,1,3,3,1,6,1,2,3,1,3,2,5,1,5,2,3,5,5,1,3,2,5,4,6,1,1,2,3,3,3,10,1,3,1,3,3,3,6,2,7,7,5,6,3,3,3,2,NA,2,NA,1,1,1,NA,2,1,2,NA,NA,2,1,2,3,NA,1,2,1,2,2,1,2,4,3,NA,2,2,2,2,1,NA,2,2,3,1,4,2,3,NA,4
"E01010590","West Yorkshire","Bradford 031A",3,2,4,3,1,1,7,6,4,1,5,3,6,5,4,1,5,3,8,13,8,5,7,7,7,8,6,4,6,9,17,13,8,3,6,13,4,5,6,NA,5,4,6,6,3,2,5,5,6,2,4,5,3,7,3,3,1,2,3,3,4,2,1,10,4,6,6,7,3,6,3,2,5,2,4,4,5,1,11,3,4,6,6,7,7,7,8,6,7,14,6,6,4,2,3,4
"E01010591","West Yorkshire","Bradford 022E",2,NA,1,3,NA,1,3,3,NA,2,NA,3,1,1,2,NA,1,NA,NA,1,3,1,1,2,NA,NA,3,2,1,2,2,3,NA,1,2,5,NA,2,4,11,2,1,NA,NA,1,2,3,2,3,2,3,2,1,NA,1,4,NA,NA,1,3,NA,1,5,NA,1,1,2,3,1,2,2,1,2,NA,1,29,5,NA,1,2,1,1,1,1,4,1,3,1,1,NA,1,2,4,3,3,2
"E01010592","West Yorkshire","Bradford 031B",NA,3,3,1,2,3,1,2,3,3,4,1,2,1,NA,1,2,1,2,1,3,6,5,3,3,3,1,5,2,NA,1,3,2,4,2,1,1,2,2,2,1,1,1,NA,1,2,4,3,3,5,2,3,2,NA,NA,1,1,3,2,1,1,2,1,1,NA,1,NA,NA,2,2,1,NA,NA,2,NA,NA,2,1,NA,3,5,3,3,2,5,2,1,1,2,NA,NA,NA,1,21,3,3
