"lsoa11cd","CAUTH18NM","lsoa11nm","median_95Q1","median_95Q2","median_95Q3","median_95Q4","median_96Q1","median_96Q2","median_96Q3","median_96Q4","median_97Q1","median_97Q2","median_97Q3","median_97Q4","median_98Q1","median_98Q2","median_98Q3","median_98Q4","median_99Q1","median_99Q2","median_99Q3","median_99Q4","median_00Q1","median_00Q2","median_00Q3","median_00Q4","median_01Q1","median_01Q2","median_01Q3","median_01Q4","median_02Q1","median_02Q2","median_02Q3","median_02Q4","median_03Q1","median_03Q2","median_03Q3","median_03Q4","median_04Q1","median_04Q2","median_04Q3","median_04Q4","median_05Q1","median_05Q2","median_05Q3","median_05Q4","median_06Q1","median_06Q2","median_06Q3","median_06Q4","median_07Q1","median_07Q2","median_07Q3","median_07Q4","median_08Q1","median_08Q2","median_08Q3","median_08Q4","median_09Q1","median_09Q2","median_09Q3","median_09Q4","median_10Q1","median_10Q2","median_10Q3","median_10Q4","median_11Q1","median_11Q2","median_11Q3","median_11Q4","median_12Q1","median_12Q2","median_12Q3","median_12Q4","median_13Q1","median_13Q2","median_13Q3","median_13Q4","median_14Q1","median_14Q2","median_14Q3","median_14Q4","median_15Q1","median_15Q2","median_15Q3","median_15Q4","median_16Q1","median_16Q2","median_16Q3","median_16Q4","median_17Q1","median_17Q2","median_17Q3","median_17Q4","median_18Q1","median_18Q2","median_18Q3","median_18Q4"
"E01010568","West Yorkshire","Bradford 016A",NA,41000,43000,NA,NA,43500,NA,35000,31500,40000,54000,50000,56500,NA,56475,64500,38475,31500,39000,42250,45997.5,62000,NA,41250,67000,47225,49500,54500,43500,46500,71475,69472.5,63250,100950,87450,84000,99000,119950,111950,85500,79000,128500,88500,NA,25000,119000,97625,122500,118000,123750,134000,127500,111250,125000,115000,NA,97250,112500,NA,NA,80000,NA,125000,64852.5,106000,75000,102500,75000,65000,NA,88000,121500,59000,NA,66250,73000,95250,80000,78000,69000,NA,87500,NA,116500,112250,97500,79500,78000,69000,116000,107500,NA,97500,83000,115000,80000
"E01010569","West Yorkshire","Bradford 016B",NA,NA,NA,NA,NA,28500,NA,NA,NA,NA,NA,NA,NA,23475,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000,NA,NA,14310,NA,NA,19000,38975,NA,41500,NA,NA,NA,159995,184995,65000,29000,NA,NA,NA,75000,99950,NA,NA,190000,135000,NA,NA,NA,135000,NA,78750,NA,138000,NA,55000,NA,68975,82000,NA,56000,150000,NA,NA,NA,NA,51000,65000,NA,NA,NA,NA,NA,70000,NA,68000,56000,63500,160000,65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,NA
"E01010570","West Yorkshire","Bradford 018A",NA,NA,NA,NA,12375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010571","West Yorkshire","Bradford 016C",41000,27975,NA,17000,NA,NA,33000,NA,33000,35950,36500,32000,32000,39000,NA,27000,NA,36000,39500,36250,34950,35000,35875,33500,42000,50000,NA,54950,NA,25000,49750,67750,64950,59950,68500,67500,78000,78500,78950,81000,87750,89000,89725,76301,87475,90975,92725,96000,98000,99950,95000,124500,130000,121500,99950,NA,124950,127500,1e+05,85000,NA,79000,72500,69950,70000,112500,NA,NA,71625,NA,78000,80000,NA,NA,84950,71750,94950,76225,74250,NA,67000,66225,62500,97500,88725,83975,NA,NA,77500,80000,70000,72500,NA,84000,78850,73000
"E01010572","West Yorkshire","Bradford 016D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010573","West Yorkshire","Bradford 013A",NA,NA,NA,NA,37950,NA,NA,50500,NA,NA,NA,39000,NA,NA,NA,NA,NA,NA,NA,53950,NA,NA,50499,NA,NA,NA,NA,NA,NA,NA,44900,96705,NA,NA,NA,NA,76500,NA,NA,NA,NA,NA,120000,20000,NA,NA,NA,95000,NA,NA,95000,NA,140000,NA,NA,NA,NA,NA,NA,NA,NA,77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,74000,NA,NA,NA,NA,NA,116750,NA,NA,NA,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,145000,NA,NA,NA,NA
"E01010574","West Yorkshire","Bradford 013B",NA,NA,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29500,NA,NA,NA,NA,54950,NA,99500,NA,164000,NA,NA,NA,59950,NA,NA,182500,69950,NA,120000,NA,NA,NA,NA,1e+05,NA,115000,NA,NA,142500,NA,NA,NA,NA,NA,NA,115000,NA,NA,121250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139000,142000,NA,190000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010575","West Yorkshire","Bradford 013C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66950,NA,62500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87000,NA,NA,NA,NA,NA,NA,140000,NA,NA,NA,NA,210000,139950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135000,NA,NA,NA,NA,NA,NA,125000,NA,NA,NA,NA
"E01010576","West Yorkshire","Bradford 016E",NA,NA,NA,NA,NA,NA,NA,31950,139500,NA,32500,146000,NA,28000,35700,NA,42000,NA,37500,NA,150000,41750,95000,34000,NA,NA,NA,NA,44250,46000,19680,50000,NA,NA,NA,67500,NA,68500,NA,NA,87000,86750,NA,87000,NA,99950,106500,NA,NA,395000,NA,NA,NA,117500,NA,NA,NA,NA,84000,NA,NA,NA,NA,NA,NA,NA,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76500,NA,NA,NA,76500,94000,80000,68750,NA,NA,91000,86500,72900,NA,NA,NA,NA,72000,NA
"E01010577","West Yorkshire","Bradford 013D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96500,NA,154950,139950,189975,175000,110000,NA,NA,NA,139000,NA,NA,35000,NA,120000,101750,NA,NA,NA,NA,158000,NA,NA,147500,NA,NA,NA,NA,NA,NA,157000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142500,1e+05,NA,NA,NA,NA,138000,NA,NA,NA,79950
"E01010578","West Yorkshire","Bradford 015A",NA,37000,38937.5,33000,NA,NA,35000,28000,43450,87500,62750,34500,61000,26500,NA,65000,NA,118000,NA,32000,71000,76000,1e+05,116000,40500,75000,88432.5,67975,55475,84950,127000,110500,79500,119950,108000,105000,119000,102500,143250,87500,190000,112500,112500,160000,87250,165000,114375,112000,138000,177995,175745,157049.5,150475,175000,170000,NA,105500,150250,NA,114000,NA,86500,78000,82500,69000,130000,72000,72000,78250,118375,87750,1e+05,83000,125000,NA,135000,NA,NA,85000,79000,221500,109750,154000,137250,109950,86225,133500,165000,110500,106250,160000,159950,270000,152000,109500,120000
